MOUCHAMPS,85
MOUILLERON EN PAREDS,85
MOUILLERON LE CAPTIF,85
MOULINS,79
MOUTIERS LES MAUXFAITS,85
MOUTIERS SUR LE LAY,85
MOUZEUIL (SAINT MARTIN),85
NALLIERS,85
NESMY,85
NIEUL LE DOLENT,85
NIEUL SUR L'AUTISE,85
NOIRLIEU,79
NOIRMOUTIER (EN L'ÎLE),85
NOIRTERRE,79
NOTRE DAME DE MONTS,85
NUEIL SUR ARGENT (= NUEIL LES AUBIERS),79
OIE (L'),85
OLONNE SUR MER,85
ORBRIE (L'),85
OULMES,85
PALLUAU,85
PAULX,44
PAYRÉ SUR VENDÉE,85
PÉAULT,85
PETIT BOURG DES HERBIERS (LE),85
PETOSSE,85
PINEAUX (SAINT OUEN) (LES),85
PIN (LE) (79),79
PISSOTTE,85
POIRE SUR VELLUIRE (LE),85
POIRÉ SUR VELLUIRE (LE),85
POIRÉ SUR VIE (LE),85
POIROUX,85
POMMERAIE SUR SÈVRE (LA),85
POMPAIRE,79
POUILLÉ,85
POUZAUGES,85
PUYBELLIARD,85
PUY DE SERRE,85
PUYRAVAULT,85
PUY SAINT BONNET (LE),49
RABATELIÈRE (LA),85
RÉAUMUR,85
REDOUX (LES),85
RÉORTHE (LA),85
ROCHESERVIÈRE (- NOTRE DAME),85
ROCHE SUR YON (LA),85
RONDE (LA) (79),79
RORTHAIS,79
ROSNAY,85
SABLES D'OLONNE (LES),85
SAINT AMAND SUR SÈVRE,79
SAINT ANDRÉ D'ORNAY,85
SAINT ANDRÉ GOULE D'OIE,85
SAINT ANDRÉ SUR MAREUIL,85
SAINT ANDRÉ SUR SÈVRE,79
SAINT ANDRÉ TREIZE VOIES,85
SAINT AUBIN DE BAUBIGNÉ,79
SAINT AUBIN DES ORMEAUX,85
SAINT AUBIN LA PLAINE,85
SAINT AVAUGOURD DES LANDES,85
SAINT BENOIST SUR MER,85
SAINT CHRISTOPHE DU LIGNERON,85
SAINT CHRISTOPHE LA CHARTREUSE,85
SAINT CYR DES GÂTS,85
SAINT CYR EN TALMONDAIS,85
SAINT DENIS DU PAYRÉ,85
SAINT DENIS LA CHEVASSE,85
SAINTE CÉCILE,85
SAINTE CHRISTINE,85
SAINTE FLAIVE DES LOUPS,85
SAINTE FLORENCE,85
SAINTE FOY,85
SAINTE GEMME LA PLAINE,85
SAINTE GEMME LES BRUYÈRES,85
SAINTE HERMINE,85
SAINTE PEXINE,85
SAINTE PEZENNE,79
SAINTE RADÉGONDE DES NOYERS,85
SAINTE RADÉGONDE LA VINEUSE,85
SAINT ÉTIENNE DE BRILLOUET,85
SAINT ÉTIENNE DE MER MORTE,44
SAINT ÉTIENNE DES LOGES,85
SAINT ÉTIENNE DU BOIS,85
SAINT FLORENT DES BOIS,85
SAINT FULGENT,85
SAINT GEORGES DE MONTAIGU,85
SAINT GEORGES DE POINTINDOUX,85
SAINT GERMAIN DE PRINÇAY,85
SAINT GERMAIN L'AIGUILLER,85
SAINT GERVAIS,85
SAINT GILLES SUR VIE,85
SAINT HERMAND,85
SAINT HILAIRE DE LOULAY,85
SAINT HILAIRE DE MORTAGNE,85
SAINT HILAIRE DE RIEZ,85
SAINT HILAIRE DES LOGES (... SUR L'AUTISE),85
SAINT HILAIRE DE TALMONT,85
SAINT HILAIRE DE VOUST,85
SAINT HILAIRE DU BOIS,85
SAINT HILAIRE LA FORÊT,85
SAINT HILAIRE LE VOUHIS,85
SAINT JEAN DE BEUGNÉ,85
SAINT JEAN DE MONTS,85
SAINT JOUIN DE MILLY,79
SAINT JOUIN SOUS CHÂTILLON,79
